Date,Open,High,Low,Close,Adj Close,Volume
2020/3/2,113.190002,119.790001,112.550003,119.559998,118.023163,12399800
2020/3/3,119.730003,121.839996,117.139999,118.169998,116.651031,12510900
2020/3/4,119.879997,124.690002,119.599998,124.5,122.899666,9459300
2020/3/5,121.300003,122.900002,120.279999,121.629997,120.066559,9363500
2020/3/6,118.029999,122.610001,117.550003,121.660004,120.096176,9817400
2020/3/9,115.269997,120.029999,115.120003,116.059998,114.568153,13116500
2020/3/10,118.959999,120.82,114.440002,120.550003,119.000435,11419100
2020/3/11,117.599998,118.440002,110.68,111.589996,110.155609,16456000
2020/3/12,103,111.580002,101,101.839996,100.530937,20988000
2020/3/13,106.5,114.629997,105.410004,114.07,112.603729,17378700
2020/3/16,101.75,115.949997,101,108.5,107.105331,17367400
2020/3/17,111.449997,119.699997,110.769997,118.239998,116.720131,19451400
2020/3/18,113.019997,121.5,112.089996,117.449997,115.940277,23139200
2020/3/19,116.610001,118,109.790001,110.830002,109.405388,16428100
2020/3/20,109.190002,109.699997,101.589996,102.43,101.113358,19922900
2020/3/23,100.190002,103.75,94.339996,97.699997,96.444145,17776800
2020/3/24,101.230003,104,96.07,103.269997,101.942551,14625500
2020/3/25,100.510002,104.699997,98.599998,100.919998,99.622765,13789100
2020/3/26,103.879997,108.309998,102.529999,107.379997,105.999725,15796000
2020/3/27,106.489998,114.290001,106.489998,110.169998,108.75386,16073100
2020/3/30,113.900002,115.790001,110.199997,115,113.521774,14571600
2020/3/31,113.5,114.290001,108.949997,110,108.586052,21691000
2020/4/1,107.949997,112.18,107,109.330002,107.92466,11095800
2020/4/2,107.690002,114.989998,107.5,114.400002,112.929489,9168800
2020/4/3,113.739998,115.900002,113.010002,115.080002,113.600746,7768700
2020/4/6,117,119,114.580002,117.809998,116.295654,16848400
2020/4/7,116.709999,120.059998,112.5,112.769997,111.320442,14438400
2020/4/8,114.389999,117.300003,111.860001,115.099998,113.620491,12564500
2020/4/9,115.260002,118.660004,114.199997,114.660004,113.186157,12748600
2020/4/13,113.610001,116.75,113.160004,115.949997,114.459564,7926700
2020/4/14,118.760002,121.470001,116.25,120.959999,119.405167,10474200
2020/4/15,120.860001,123.419998,119.589996,121.220001,119.661827,14192900
2020/4/16,122.349998,122.5,119.900002,121.5,119.938232,12020200
2020/4/17,122.449997,124.989998,120.540001,124.690002,123.087227,15899800
2020/4/20,121.470001,123.230003,120.540001,120.599998,119.049789,10832000
2020/4/21,119.5,120.300003,118.43,119.68,118.141617,9465400
2020/4/22,119.989998,120.279999,118.779999,119.400002,117.865227,10261000
2020/4/23,118.650002,119.669998,118.050003,119.400002,118.651268,17277000
2020/4/24,119.099998,119.760002,118.620003,118.779999,118.035149,12751900
2020/4/27,119.190002,119.190002,116.900002,117.449997,116.713486,10635700
2020/4/28,117.099998,117.910004,116.169998,116.889999,116.157005,9958000
2020/4/29,117.519997,118.050003,115.080002,117.080002,116.34581,8707900
2020/4/30,115.919998,118.279999,115.660004,117.870003,117.130859,10024700
2020/5/1,117.599998,118.370003,116.32,116.82,116.08744,7366400
2020/5/4,117.089996,117.199997,115,115.769997,115.044022,5636000
2020/5/5,115.800003,117.260002,115.209999,116.010002,115.282524,5425200
2020/5/6,115.540001,116.139999,112.889999,113.099998,112.39077,7892200
2020/5/7,114.059998,114.139999,111.82,112.169998,111.466599,8762800
2020/5/8,113.519997,116.300003,113.389999,115.949997,115.222893,9283100
2020/5/11,115.75,116.010002,114.919998,115.309998,114.586906,6946300
2020/5/12,115.199997,115.900002,114.139999,114.550003,113.83168,6734400
2020/5/13,114.279999,115.349998,113.730003,113.919998,113.205627,9312600
2020/5/14,113.540001,114.449997,111.25,113.809998,113.096313,9310000
2020/5/15,113.93,114.790001,112.050003,114.610001,113.891304,10694800
2020/5/18,116.029999,116.989998,114.709999,116.209999,115.48127,10020800
2020/5/19,115.089996,115.639999,112.339996,112.440002,111.734909,8047600
2020/5/20,113,113.769997,112.129997,113.279999,112.569641,6593800
2020/5/21,112.800003,113.199997,111.43,111.620003,110.920052,6552700
2020/5/22,112.290001,113.599998,111.760002,112.599998,111.893906,5571900
2020/5/26,114.150002,114.150002,111.68,112.029999,111.327477,10432400
2020/5/27,112.5,113.970001,111.82,113.889999,113.175812,8279700
2020/5/28,115.529999,116.989998,114.900002,116.059998,115.332207,6586700
2020/5/29,116.129997,116.720001,114.620003,115.919998,115.193085,7987900
2020/6/1,116,117.5,115.260002,117.25,116.514748,5105600
